133,6221
180,10265
134,6661
132,5880
179,9969
135,7206
136,7634
137,8620
138,9385
139,10091
140,11009
141,11175
142,10429
143,10351
144,11469
145,11375
146,11254
147,11957
148,12927
149,13553
150,14637
151,15260
152,16431
153,17050
154,17862
156,19602
59,6772
155,19492
157,18475
158,22922
159,28545
62,5665
160,30737
63,5186
161,27641
162,19388
65,5036
163,12556
164,11022
166,9850
69,5636
167,9975
169,10055
168,9816
170,10401
171,10700
74,6061
173,10519
172,10418
174,10422
176,10070
175,10299
177,9841
80,7330
181,10001
182,9583
85,8595
183,9675
184,9004
186,8284
89,8645
190,7856
191,8400
94,8891
193,10681
96,8857
194,12842
198,11076
101,8668
201,13091
205,14740
207,15259
110,7145
208,16509
211,37806
210,32795
113,6794
188,7757
91,8961
178,9696
165,10303
185,8570
88,9016
187,8005
90,9147
189,7533
92,8987
130,5873
128,5797
127,5992
125,5838
121,5566
119,6166
116,6696
107,7878
103,9020
98,9059
58,6934
60,6250
61,5740
54,8261
52,8832
50,8135
49,7608
51,8821
48,6917
47,6717
45,6411
46,6194
82,8079
120,6068
124,5531
126,5766
131,5941
123,5679
115,6872
102,9277
76,6599
66,5089
56,7610
43,6458
42,6746
40,6755
38,5999
235,1602
37,5637
234,1691
39,6431
36,5206
233,1655
35,4689
34,3904
33,3326
31,2792
228,1943
41,6684
57,7153
64,5060
68,5489
72,5481
75,5803
78,6649
79,6944
73,5748
71,5609
67,5314
109,7574
108,7585
111,7069
112,7288
114,6711
106,8293
104,9049
99,9092
93,9218
86,9103
87,8839
95,9256
196,12725
200,11538
203,15110
209,24134
199,11326
122,5559
117,6449
105,8667
100,9291
84,8570
53,8541
129,5781
70,5508
97,9026
192,9611
195,13358
212,44365
213,43721
197,11775
44,6123
83,8428
118,6324
81,7653
77,6667
32,3014
55,7956
215,29256
206,14849
204,15554
214,44649
216,19748
202,14595
226,2159
29,2800
223,2376
227,1930
221,3029
24,4261
222,2611
240,1155
28,2874
19,4396
236,1538
231,1671
23,4665
25,4048
229,1704
238,1331
224,2081
230,1601
20,4113
27,3239
232,1689
225,1876
217,11393
239,1221
241,931
218,6525
219,4501
237,1492
220,3928
242,793
243,792
244,612
246,1746
248,3748
30,2683
26,3731
21,3908
22,4403
245,592
247,1940
249,1787
250,185
251,53
252,27
253,5
18,4629
15,4635
13,1489
17,4882
12,727
10,304
7,141
5,113
11,403
8,140
6,99
9,226
14,2852
4,58
16,5414
1,48
254,4
3,49
2,31
0,4
255,2
